Fecha,Hora,Turno,Boquilla,Peso (g),Etapa
2024-11-04,06:00,mañana,1,4.4585,Post ML - Crema
2024-11-04,06:00,mañana,2,3.7592,Post ML - Crema
2024-11-04,06:00,mañana,3,4.6902,Post ML - Crema
2024-11-04,06:00,mañana,4,4.7891,Post ML - Crema
2024-11-04,06:00,mañana,5,3.2855,Post ML - Crema
2024-11-04,06:00,mañana,6,3.6229,Post ML - Crema
2024-11-04,06:00,mañana,7,4.3665,Post ML - Crema
2024-11-04,06:00,mañana,8,4.1356,Post ML - Crema
2024-11-04,06:00,mañana,9,4.2913,Post ML - Crema
2024-11-04,06:00,mañana,10,3.8564,Post ML - Crema
2024-11-04,06:00,mañana,11,4.7573,Post ML - Crema
2024-11-04,06:00,mañana,12,4.7045,Post ML - Crema
2024-11-04,06:00,mañana,13,4.3343,Post ML - Crema
2024-11-04,06:00,mañana,14,4.7884,Post ML - Crema
2024-11-04,06:00,mañana,15,4.3159,Post ML - Crema
2024-11-04,06:00,mañana,16,3.5834,Post ML - Crema
2024-11-04,06:10,mañana,1,4.4918,Post ML - Crema
2024-11-04,06:10,mañana,2,3.8014,Post ML - Crema
2024-11-04,06:10,mañana,3,4.7568,Post ML - Crema
2024-11-04,06:10,mañana,4,4.274,Post ML - Crema
2024-11-04,06:10,mañana,5,4.2039,Post ML - Crema
2024-11-04,06:10,mañana,6,3.9459,Post ML - Crema
2024-11-04,06:10,mañana,7,4.9357,Post ML - Crema
2024-11-04,06:10,mañana,8,4.2196,Post ML - Crema
2024-11-04,06:10,mañana,9,4.0773,Post ML - Crema
2024-11-04,06:10,mañana,10,4.1169,Post ML - Crema
2024-11-04,06:10,mañana,11,4.5768,Post ML - Crema
2024-11-04,06:10,mañana,12,4.49,Post ML - Crema
2024-11-04,06:10,mañana,13,4.5146,Post ML - Crema
2024-11-04,06:10,mañana,14,4.4335,Post ML - Crema
2024-11-04,06:10,mañana,15,5.143,Post ML - Crema
2024-11-04,06:10,mañana,16,3.8025,Post ML - Crema
2024-11-04,06:20,mañana,1,4.0336,Post ML - Crema
2024-11-04,06:20,mañana,2,3.8768,Post ML - Crema
2024-11-04,06:20,mañana,3,4.6203,Post ML - Crema
2024-11-04,06:20,mañana,4,4.8871,Post ML - Crema
2024-11-04,06:20,mañana,5,4.2407,Post ML - Crema
2024-11-04,06:20,mañana,6,3.8631,Post ML - Crema
