Fecha,Hora,Turno,Peso (g),Temperatura (°C),Viscosidad (mPa.s),Presión (bar),Etapa
2024-09-09,06:05,mañana,6.199,14.01,1813,6.5,Crema
2024-09-09,07:46,mañana,7.2025,15.47,1619,6.5,Crema
2024-09-09,08:10,mañana,7.1635,18.07,1306,6.38,Crema
2024-09-09,09:55,mañana,6.9105,19.01,1183,6.13,Crema
2024-09-09,10:04,mañana,7.6758,20.12,1041,5.83,Crema
2024-09-09,11:58,mañana,7.1294,22.63,770,5.0,Crema
2024-09-09,12:54,mañana,6.8957,24.85,463,5.0,Crema
2024-09-09,13:22,mañana,7.341,26.22,304,5.0,Crema
2024-09-09,14:50,mañana,7.2346,27.0,203,5.0,Crema
2024-09-09,14:23,tarde,7.5634,27.0,200,5.0,Crema
2024-09-09,15:02,tarde,7.6828,26.27,305,5.0,Crema
2024-09-09,16:08,tarde,7.5083,26.04,330,5.0,Crema
2024-09-09,17:16,tarde,8.0544,22.94,685,5.0,Crema
2024-09-09,18:24,tarde,8.0551,23.4,653,5.0,Crema
2024-09-09,19:20,tarde,8.1217,21.6,872,5.27,Crema
2024-09-09,20:01,tarde,7.8768,22.44,760,5.0,Crema
2024-09-09,21:57,tarde,7.9552,19.52,1127,5.9,Crema
2024-09-09,22:05,tarde,7.867,20.34,1006,5.66,Crema
2024-09-09,22:07,noche,6.6952,19.44,1134,5.95,Crema
2024-09-09,23:27,noche,7.9117,18.92,1199,6.19,Crema
2024-09-09,00:05,noche,7.2784,18.11,1297,6.5,Crema
2024-09-09,01:38,noche,6.843,18.95,1173,6.07,Crema
2024-09-09,02:59,noche,6.4168,16.76,1457,6.5,Crema
2024-09-09,03:34,noche,7.0445,16.99,1462,6.5,Crema
2024-09-09,04:09,noche,6.5258,14.62,1711,6.5,Crema
2024-09-09,05:34,noche,6.3634,15.43,1627,6.5,Crema
2024-09-09,06:18,noche,7.1855,14.0,1827,6.5,Crema
2024-09-10,06:06,mañana,7.6951,14.0,1786,6.5,Crema
2024-09-10,07:18,mañana,6.7438,15.41,1640,6.5,Crema
2024-09-10,08:49,mañana,6.322,16.77,1466,6.5,Crema
2024-09-10,09:58,mañana,7.6644,20.07,1056,5.79,Crema
2024-09-10,10:59,mañana,8.0128,21.31,895,5.5,Crema
