Fecha,Hora,Turno,Boquilla,Peso (g)
2024-11-04,06:00,mañana,1,16.3393
2024-11-04,06:06,mañana,2,16.1374
2024-11-04,06:12,mañana,3,15.9264
2024-11-04,06:18,mañana,4,15.4572
2024-11-04,06:24,mañana,5,16.6036
2024-11-04,06:30,mañana,6,16.0585
2024-11-04,06:36,mañana,7,16.4254
2024-11-04,06:42,mañana,8,16.5808
2024-11-04,06:48,mañana,9,16.4344
2024-11-04,06:54,mañana,10,16.2592
2024-11-04,07:00,mañana,11,16.5655
2024-11-04,07:06,mañana,12,16.5158
2024-11-04,07:12,mañana,13,16.5441
2024-11-04,07:18,mañana,14,15.7397
2024-11-04,07:24,mañana,15,16.1897
2024-11-04,07:30,mañana,16,16.0879
2024-11-04,07:36,mañana,1,17.3794
2024-11-04,07:42,mañana,2,16.0924
2024-11-04,07:48,mañana,3,16.7794
2024-11-04,07:54,mañana,4,15.7291
2024-11-04,08:00,mañana,5,16.1872
2024-11-04,08:06,mañana,6,15.8179
2024-11-04,08:12,mañana,7,16.399
2024-11-04,08:18,mañana,8,16.9781
2024-11-04,08:24,mañana,9,16.0113
2024-11-04,08:30,mañana,10,16.6122
2024-11-04,08:36,mañana,11,16.6068
2024-11-04,08:42,mañana,12,16.5589
2024-11-04,08:48,mañana,13,16.2491
2024-11-04,08:54,mañana,14,16.2746
2024-11-04,09:00,mañana,15,16.3785
2024-11-04,09:06,mañana,16,16.404
2024-11-04,09:12,mañana,1,16.386
2024-11-04,09:18,mañana,2,16.6084
2024-11-04,09:24,mañana,3,16.2848
2024-11-04,09:30,mañana,4,16.5254
2024-11-04,09:36,mañana,5,16.4388
2024-11-04,09:42,mañana,6,15.9291
2024-11-04,09:48,mañana,7,16.0027
2024-11-04,09:54,mañana,8,16.5328
2024-11-04,06:00,mañana,9,16.5031
2024-11-04,06:06,mañana,10,16.7169
2024-11-04,06:12,mañana,11,15.5312
2024-11-04,06:18,mañana,12,16.5494
2024-11-04,06:24,mañana,13,15.4677
2024-11-04,06:30,mañana,14,16.3099
2024-11-04,06:36,mañana,15,15.4434
2024-11-04,06:42,mañana,16,16.8119
2024-11-04,06:48,mañana,1,16.023
2024-11-04,06:54,mañana,2,17.1072
2024-11-04,07:00,mañana,3,16.4051
2024-11-04,07:06,mañana,4,16.6314
2024-11-04,07:12,mañana,5,16.535
2024-11-04,07:18,mañana,6,16.9725
2024-11-04,07:24,mañana,7,16.3194
2024-11-04,07:30,mañana,8,15.9219
2024-11-04,07:36,mañana,9,15.9061
2024-11-04,07:42,mañana,10,16.0022
2024-11-04,07:48,mañana,11,16.3488
2024-11-04,07:54,mañana,12,16.4553
2024-11-04,08:00,mañana,13,16.2373
2024-11-04,08:06,mañana,14,16.3855
2024-11-04,08:12,mañana,15,16.8851
2024-11-04,08:18,mañana,16,15.6978
2024-11-04,08:24,mañana,1,16.1329
2024-11-04,08:30,mañana,2,16.6968
2024-11-04,08:36,mañana,3,15.949
2024-11-04,08:42,mañana,4,16.7009
2024-11-04,08:48,mañana,5,16.1782
2024-11-04,08:54,mañana,6,16.1209
2024-11-04,09:00,mañana,7,16.2608
2024-11-04,09:06,mañana,8,16.3918
2024-11-04,09:12,mañana,9,16.208
2024-11-04,09:18,mañana,10,16.8732
2024-11-04,09:24,mañana,11,16.2012
2024-11-04,09:30,mañana,12,16.7578
2024-11-04,09:36,mañana,13,16.7231
2024-11-04,09:42,mañana,14,16.2581
2024-11-04,09:48,mañana,15,16.8294
2024-11-04,09:54,mañana,16,16.9903
2024-11-04,06:00,mañana,1,16.5657
2024-11-04,06:06,mañana,2,16.6482
2024-11-04,06:12,mañana,3,15.7105
2024-11-04,06:18,mañana,4,16.5479
2024-11-04,06:24,mañana,5,16.7346
2024-11-04,06:30,mañana,6,16.9953
2024-11-04,06:36,mañana,7,16.1799
2024-11-04,06:42,mañana,8,16.4167
2024-11-04,06:48,mañana,9,16.7709
2024-11-04,06:54,mañana,10,16.0935
2024-11-04,07:00,mañana,11,16.5683
2024-11-04,07:06,mañana,12,15.2943
2024-11-04,07:12,mañana,13,16.5548
2024-11-04,07:18,mañana,14,15.7548
2024-11-04,07:24,mañana,15,15.7423
2024-11-04,07:30,mañana,16,16.2183
2024-11-04,07:36,mañana,1,16.1532
2024-11-04,07:42,mañana,2,16.3298
2024-11-04,07:48,mañana,3,15.4268
2024-11-04,07:54,mañana,4,15.9449
2024-11-04,08:00,mañana,5,16.983
2024-11-04,08:06,mañana,6,16.3288
2024-11-04,08:12,mañana,7,15.9508
2024-11-04,08:18,mañana,8,16.5861
2024-11-04,08:24,mañana,9,16.2472
2024-11-04,08:30,mañana,10,16.6114
2024-11-04,08:36,mañana,11,16.2074
2024-11-04,08:42,mañana,12,17.0114
2024-11-04,08:48,mañana,13,16.4
2024-11-04,08:54,mañana,14,16.4549
2024-11-04,09:00,mañana,15,15.6793
2024-11-04,09:06,mañana,16,15.9915
2024-11-04,09:12,mañana,1,16.7052
2024-11-04,09:18,mañana,2,16.0275
2024-11-04,09:24,mañana,3,16.6704
2024-11-04,09:30,mañana,4,15.7083
2024-11-04,09:36,mañana,5,16.2865
2024-11-04,09:42,mañana,6,16.6348
2024-11-04,09:48,mañana,7,16.3618
2024-11-04,09:54,mañana,8,16.1907
2024-11-04,06:00,mañana,9,16.6451
2024-11-04,06:06,mañana,10,16.9679
2024-11-04,06:12,mañana,11,16.4993
2024-11-04,06:18,mañana,12,16.8892
2024-11-04,06:24,mañana,13,16.6849
2024-11-04,06:30,mañana,14,16.1309
2024-11-04,06:36,mañana,15,16.4247
