Fecha,Hora,Turno,Boquilla,Peso (g),Etapa
2024-11-04,06:00,mañana,1,4.1706,Post ML - Mermelada
2024-11-04,06:00,mañana,2,3.4176,Post ML - Mermelada
2024-11-04,06:00,mañana,3,4.4203,Post ML - Mermelada
2024-11-04,06:00,mañana,4,4.5267,Post ML - Mermelada
2024-11-04,06:00,mañana,5,2.9074,Post ML - Mermelada
2024-11-04,06:00,mañana,6,3.2708,Post ML - Mermelada
2024-11-04,06:00,mañana,7,4.0716,Post ML - Mermelada
2024-11-04,06:00,mañana,8,3.8229,Post ML - Mermelada
2024-11-04,06:00,mañana,9,3.9906,Post ML - Mermelada
2024-11-04,06:00,mañana,10,3.5223,Post ML - Mermelada
2024-11-04,06:00,mañana,11,4.4925,Post ML - Mermelada
2024-11-04,06:00,mañana,12,4.4356,Post ML - Mermelada
2024-11-04,06:00,mañana,13,4.037,Post ML - Mermelada
2024-11-04,06:00,mañana,14,4.4923,Post ML - Mermelada
2024-11-04,06:00,mañana,15,4.0913,Post ML - Mermelada
2024-11-04,06:00,mañana,16,3.3077,Post ML - Mermelada
2024-11-04,06:10,mañana,1,4.2065,Post ML - Mermelada
2024-11-04,06:10,mañana,2,3.463,Post ML - Mermelada
2024-11-04,06:10,mañana,3,4.4919,Post ML - Mermelada
2024-11-04,06:10,mañana,4,3.972,Post ML - Mermelada
2024-11-04,06:10,mañana,5,3.8965,Post ML - Mermelada
2024-11-04,06:10,mañana,6,3.6187,Post ML - Mermelada
2024-11-04,06:10,mañana,7,4.6846,Post ML - Mermelada
2024-11-04,06:10,mañana,8,3.9135,Post ML - Mermelada
2024-11-04,06:10,mañana,9,3.7601,Post ML - Mermelada
2024-11-04,06:10,mañana,10,3.8028,Post ML - Mermelada
2024-11-04,06:10,mañana,11,4.2981,Post ML - Mermelada
2024-11-04,06:10,mañana,12,4.2046,Post ML - Mermelada
2024-11-04,06:10,mañana,13,4.2311,Post ML - Mermelada
2024-11-04,06:10,mañana,14,4.114,Post ML - Mermelada
2024-11-04,06:10,mañana,15,4.9913,Post ML - Mermelada
2024-11-04,06:10,mañana,16,3.5461,Post ML - Mermelada
2024-11-04,06:20,mañana,1,3.7131,Post ML - Mermelada
2024-11-04,06:20,mañana,2,3.5443,Post ML - Mermelada
2024-11-04,06:20,mañana,3,4.3449,Post ML - Mermelada
2024-11-04,06:20,mañana,4,4.6322,Post ML - Mermelada
2024-11-04,06:20,mañana,5,3.9362,Post ML - Mermelada
2024-11-04,06:20,mañana,6,3.5295,Post ML - Mermelada
2024-11-04,06:20,mañana,7,3.5383,Post ML - Mermelada
2024-11-04,06:20,mañana,8,4.3643,Post ML - Mermelada
2024-11-04,06:20,mañana,9,4.4162,Post ML - Mermelada
2024-11-04,06:20,mañana,10,4.3042,Post ML - Mermelada
2024-11-04,06:20,mañana,11,3.6273,Post ML - Mermelada
2024-11-04,06:20,mañana,12,4.13,Post ML - Mermelada
2024-11-04,06:20,mañana,13,4.0653,Post ML - Mermelada
2024-11-04,06:20,mañana,14,3.9988,Post ML - Mermelada
2024-11-04,06:20,mañana,15,4.3085,Post ML - Mermelada
2024-11-04,06:20,mañana,16,3.8777,Post ML - Mermelada
2024-11-04,06:30,mañana,1,4.3802,Post ML - Mermelada
2024-11-04,06:30,mañana,2,4.0378,Post ML - Mermelada
2024-11-04,06:30,mañana,3,4.1619,Post ML - Mermelada
2024-11-04,06:30,mañana,4,4.3535,Post ML - Mermelada
2024-11-04,06:30,mañana,5,3.184,Post ML - Mermelada
2024-11-04,06:30,mañana,6,3.821,Post ML - Mermelada
2024-11-04,06:30,mañana,7,3.7366,Post ML - Mermelada
2024-11-04,06:30,mañana,8,3.6422,Post ML - Mermelada
2024-11-04,06:30,mañana,9,3.8459,Post ML - Mermelada
2024-11-04,06:30,mañana,10,4.8372,Post ML - Mermelada
2024-11-04,06:30,mañana,11,3.5151,Post ML - Mermelada
2024-11-04,06:30,mañana,12,4.5422,Post ML - Mermelada
2024-11-04,06:30,mañana,13,3.0576,Post ML - Mermelada
2024-11-04,06:30,mañana,14,3.6981,Post ML - Mermelada
2024-11-04,06:30,mañana,15,3.9275,Post ML - Mermelada
2024-11-04,06:30,mañana,16,4.0686,Post ML - Mermelada
2024-11-04,06:40,mañana,1,4.3983,Post ML - Mermelada
2024-11-04,06:40,mañana,2,4.4443,Post ML - Mermelada
2024-11-04,06:40,mañana,3,3.8047,Post ML - Mermelada
2024-11-04,06:40,mañana,4,3.7411,Post ML - Mermelada
2024-11-04,06:40,mañana,5,4.4805,Post ML - Mermelada
2024-11-04,06:40,mañana,6,3.8929,Post ML - Mermelada
2024-11-04,06:40,mañana,7,3.2856,Post ML - Mermelada
2024-11-04,06:40,mañana,8,3.3654,Post ML - Mermelada
2024-11-04,06:40,mañana,9,3.4851,Post ML - Mermelada
2024-11-04,06:40,mañana,10,4.2784,Post ML - Mermelada
2024-11-04,06:40,mañana,11,4.0798,Post ML - Mermelada
2024-11-04,06:40,mañana,12,4.3867,Post ML - Mermelada
2024-11-04,06:40,mañana,13,3.7607,Post ML - Mermelada
2024-11-04,06:40,mañana,14,3.9661,Post ML - Mermelada
2024-11-04,06:40,mañana,15,4.1763,Post ML - Mermelada
2024-11-04,06:40,mañana,16,3.5972,Post ML - Mermelada
2024-11-04,06:50,mañana,1,4.2558,Post ML - Mermelada
2024-11-04,06:50,mañana,2,3.6293,Post ML - Mermelada
2024-11-04,06:50,mañana,3,3.7967,Post ML - Mermelada
2024-11-04,06:50,mañana,4,3.7862,Post ML - Mermelada
2024-11-04,06:50,mañana,5,3.3303,Post ML - Mermelada
2024-11-04,06:50,mañana,6,4.2727,Post ML - Mermelada
2024-11-04,06:50,mañana,7,3.7371,Post ML - Mermelada
2024-11-04,06:50,mañana,8,4.007,Post ML - Mermelada
2024-11-04,06:50,mañana,9,4.2692,Post ML - Mermelada
2024-11-04,06:50,mañana,10,4.2501,Post ML - Mermelada
2024-11-04,06:50,mañana,11,4.3726,Post ML - Mermelada
2024-11-04,06:50,mañana,12,3.9448,Post ML - Mermelada
2024-11-04,06:50,mañana,13,3.763,Post ML - Mermelada
2024-11-04,06:50,mañana,14,3.8367,Post ML - Mermelada
2024-11-04,06:50,mañana,15,2.9329,Post ML - Mermelada
2024-11-04,06:50,mañana,16,2.9982,Post ML - Mermelada
2024-11-04,07:00,mañana,1,3.2593,Post ML - Mermelada
2024-11-04,07:00,mañana,2,3.4415,Post ML - Mermelada
2024-11-04,07:00,mañana,3,4.2239,Post ML - Mermelada
2024-11-04,07:00,mañana,4,3.4929,Post ML - Mermelada
2024-11-04,07:00,mañana,5,3.7882,Post ML - Mermelada
2024-11-04,07:00,mañana,6,4.7276,Post ML - Mermelada
2024-11-04,07:00,mañana,7,3.8005,Post ML - Mermelada
2024-11-04,07:00,mañana,8,4.413,Post ML - Mermelada
2024-11-04,07:00,mañana,9,3.4772,Post ML - Mermelada
2024-11-04,07:00,mañana,10,3.885,Post ML - Mermelada
2024-11-04,07:00,mañana,11,3.468,Post ML - Mermelada
2024-11-04,07:00,mañana,12,3.8101,Post ML - Mermelada
2024-11-04,07:00,mañana,13,4.4706,Post ML - Mermelada
2024-11-04,07:00,mañana,14,2.9417,Post ML - Mermelada
2024-11-04,07:00,mañana,15,4.0735,Post ML - Mermelada
2024-11-04,07:00,mañana,16,3.8851,Post ML - Mermelada
2024-11-04,07:10,mañana,1,3.6673,Post ML - Mermelada
2024-11-04,07:10,mañana,2,3.1902,Post ML - Mermelada
2024-11-04,07:10,mañana,3,4.0404,Post ML - Mermelada
2024-11-04,07:10,mañana,4,3.7035,Post ML - Mermelada
2024-11-04,07:10,mañana,5,4.1303,Post ML - Mermelada
2024-11-04,07:10,mañana,6,4.0122,Post ML - Mermelada
2024-11-04,07:10,mañana,7,4.897,Post ML - Mermelada
2024-11-04,07:10,mañana,8,3.866,Post ML - Mermelada
2024-11-04,07:10,mañana,9,3.4268,Post ML - Mermelada
2024-11-04,07:10,mañana,10,4.1004,Post ML - Mermelada
2024-11-04,07:10,mañana,11,4.1232,Post ML - Mermelada
2024-11-04,07:10,mañana,12,4.7611,Post ML - Mermelada
2024-11-04,07:10,mañana,13,4.4677,Post ML - Mermelada
2024-11-04,07:10,mañana,14,4.0739,Post ML - Mermelada
2024-11-04,07:10,mañana,15,4.6267,Post ML - Mermelada
2024-11-04,07:10,mañana,16,3.1342,Post ML - Mermelada
2024-11-04,07:20,mañana,1,3.6417,Post ML - Mermelada
2024-11-04,07:20,mañana,2,3.4811,Post ML - Mermelada
2024-11-04,07:20,mañana,3,3.7817,Post ML - Mermelada
2024-11-04,07:20,mañana,4,3.2291,Post ML - Mermelada
2024-11-04,07:20,mañana,5,4.3557,Post ML - Mermelada
2024-11-04,07:20,mañana,6,3.8756,Post ML - Mermelada
2024-11-04,07:20,mañana,7,3.1763,Post ML - Mermelada
2024-11-04,07:20,mañana,8,3.4313,Post ML - Mermelada
2024-11-04,07:20,mañana,9,4.1756,Post ML - Mermelada
2024-11-04,07:20,mañana,10,4.4694,Post ML - Mermelada
2024-11-04,07:20,mañana,11,5.1182,Post ML - Mermelada
2024-11-04,07:20,mañana,12,5.6318,Post ML - Mermelada
2024-11-04,07:20,mañana,13,4.2321,Post ML - Mermelada
2024-11-04,07:20,mañana,14,3.3425,Post ML - Mermelada
2024-11-04,07:20,mañana,15,2.6938,Post ML - Mermelada
2024-11-04,07:20,mañana,16,3.9009,Post ML - Mermelada
2024-11-04,07:30,mañana,1,3.5448,Post ML - Mermelada
2024-11-04,07:30,mañana,2,3.7674,Post ML - Mermelada
2024-11-04,07:30,mañana,3,3.6572,Post ML - Mermelada
2024-11-04,07:30,mañana,4,3.9212,Post ML - Mermelada
2024-11-04,07:30,mañana,5,4.5969,Post ML - Mermelada
2024-11-04,07:30,mañana,6,4.0879,Post ML - Mermelada
2024-11-04,07:30,mañana,7,3.9112,Post ML - Mermelada
2024-11-04,07:30,mañana,8,3.42,Post ML - Mermelada
2024-11-04,07:30,mañana,9,3.0622,Post ML - Mermelada
2024-11-04,07:30,mañana,10,3.7277,Post ML - Mermelada
2024-11-04,07:30,mañana,11,3.9699,Post ML - Mermelada
2024-11-04,07:30,mañana,12,4.99,Post ML - Mermelada
2024-11-04,07:30,mañana,13,4.073,Post ML - Mermelada
2024-11-04,07:30,mañana,14,4.4138,Post ML - Mermelada
2024-11-04,07:30,mañana,15,3.5716,Post ML - Mermelada
2024-11-04,07:30,mañana,16,3.1362,Post ML - Mermelada
2024-11-04,14:00,tarde,1,3.5395,Post ML - Mermelada
2024-11-04,14:00,tarde,2,3.6739,Post ML - Mermelada
2024-11-04,14:00,tarde,3,5.2719,Post ML - Mermelada
2024-11-04,14:00,tarde,4,3.62,Post ML - Mermelada
2024-11-04,14:00,tarde,5,4.5496,Post ML - Mermelada
2024-11-04,14:00,tarde,6,3.5744,Post ML - Mermelada
2024-11-04,14:00,tarde,7,4.6017,Post ML - Mermelada
2024-11-04,14:00,tarde,8,4.2956,Post ML - Mermelada
2024-11-04,14:00,tarde,9,3.9923,Post ML - Mermelada
2024-11-04,14:00,tarde,10,4.0572,Post ML - Mermelada
2024-11-04,14:00,tarde,11,3.7133,Post ML - Mermelada
2024-11-04,14:00,tarde,12,4.3298,Post ML - Mermelada
2024-11-04,14:00,tarde,13,3.8252,Post ML - Mermelada
2024-11-04,14:00,tarde,14,3.2919,Post ML - Mermelada
2024-11-04,14:00,tarde,15,3.2298,Post ML - Mermelada
