Fecha,Hora,Turno,Historical_Weight_g,Temperatura (°C),Viscosidad (mPa.s),Presión (bar),% Reproceso,Etapa,Optimized_Weight_g
2025-05-08,06:05,mañana,20.6097,15.69,1978,7.5,2,Depositado,16.124178538252806
2025-05-08,07:46,mañana,20.6916,16.99,1932,8.0,5,Depositado,15.965433924707204
2025-05-08,08:24,mañana,20.373,18.27,1698,6.0,1,Depositado,16.161922134525174
2025-05-08,09:49,mañana,20.5877,19.13,1734,8.0,8,Depositado,16.380757464102008
2025-05-08,10:21,mañana,20.4442,21.58,1499,6.5,4,Depositado,15.941461656319166
2025-05-08,11:28,mañana,19.9798,22.03,1417,5.5,4,Depositado,15.941465760762705
2025-05-08,12:33,mañana,20.7292,24.47,1268,5.5,6,Depositado,16.394803203876847
2025-05-08,13:40,mañana,20.7868,25.6,1128,4.0,2,Depositado,16.191858682288228
2025-05-08,14:28,mañana,19.8795,25.42,1134,4.0,2,Depositado,15.882631403516262
2025-05-08,14:42,tarde,22.825,25.6,1325,8.0,15,Depositado,16.13564001089649
2025-05-08,15:36,tarde,21.1427,25.48,1184,5.0,7,Depositado,15.884145576796884
2025-05-08,16:01,tarde,22.3667,25.1,1269,6.5,9,Depositado,15.883567561607435
2025-05-08,17:19,tarde,21.6626,23.19,1397,6.0,8,Depositado,16.06049056789151
2025-05-08,18:10,tarde,20.4639,23.82,1242,4.5,2,Depositado,15.52167993883555
2025-05-08,19:20,tarde,22.2771,21.73,1556,8.0,12,Depositado,15.568770541871741
2025-05-08,20:07,tarde,20.6171,20.61,1503,5.5,2,Depositado,15.859428117689756
2025-05-08,21:48,tarde,22.2934,19.26,1729,8.0,9,Depositado,15.746792219916394
2025-05-08,22:34,tarde,22.0854,19.09,1655,6.0,2,Depositado,16.078561833148818
2025-05-08,22:40,noche,20.9821,18.6,1766,7.5,7,Depositado,15.772993981119697
2025-05-08,23:06,noche,21.5475,18.29,1767,6.5,4,Depositado,15.646924074666178
2025-05-08,00:40,noche,20.1543,18.64,1731,6.5,4,Depositado,16.36641219223039
2025-05-08,01:29,noche,19.8566,17.91,1848,7.5,7,Depositado,15.943555924878366
2025-05-08,02:18,noche,20.1084,17.57,1928,8.0,10,Depositado,16.01688205117198
2025-05-08,03:06,noche,21.0736,15.88,2053,8.0,3,Depositado,15.643812953446636
2025-05-08,04:57,noche,20.8231,18.01,1863,8.0,9,Depositado,15.863904318868704
